Startup Name,Industry,Pitchers City,Pitchers State,Original Ask Amount,Original Offered Equity,Total Deal Amount,Total Deal Equity,Number of Sharks in Deal,Namita Investment Amount,Aman Investment Amount,Anupam Investment Amount,Vineeta Investment Amount,Peyush Investment Amount,Ritesh Investment Amount,Amit Investment Amount,Guest Investment Amount
ClapStoreToys,Children/Education,Pune,Maharashtra,80,4,100,10,5,0,20,20,20,20,0,0,20
RahejaSolarFoodProcessing,Manufacturing,Indore,Madhya Pradesh,50,1,175,4.38,3,0,0,0,25,25,0,0,125
Wanderlooms,Fitness/Sports/Outdoors,Bhopal,Madhya Pradesh,50,2.5,50,4,2,25,0,0,0,0,25,0,0
Ugees,Lifestyle/Home,Noida,Uttar Pradesh,50,2.5,50,4,1,0,0,50,0,0,0,0,0
Alt.fCoworking,Business Services,Gurugram,Haryana,100,0.75,0,0,0,0,0,0,0,0,0,0,0
BurgerBae,Beauty/Fashion,"Ludhiana,Kolkata","Punjab,West Bengal",100,2.5,200,20,3,0,66.666,66.666,0,0,0,0,66.666
BobaBhai,Food and Beverage,Bangalore,Karnataka,50,0.3,90,1,2,45,0,0,0,0,0,0,45
Hexafun,Beauty/Fashion,"Mumbai,Delhi","Maharashtra,Delhi",100,4,0,0,0,0,0,0,0,0,0,0,0
RepeatGud,Food and Beverage,Raipur,Chhattisgarh,50,5,50,10,1,0,0,50,0,0,0,0,0
SkateSupplyIndia,Fitness/Sports/Outdoors,Chandigarh,Punjab,50,2,0,0,0,0,0,0,0,0,0,0,0
UtopianDrinks,Food and Beverage,Thane,Maharashtra,40,1.8,0,0,0,0,0,0,0,0,0,0,0
GOFIG,Green/CleanTech,Pune,Maharashtra,50,2,0,0,0,0,0,0,0,0,0,0,0
Joyspoon,Food and Beverage,Ahmedabad,Gujarat,40,1.5,40,2,1,0,0,0,0,0,40,0,0
bambinos,Children/Education,Bangalore,Karnataka,100,1,100,1.5,3,33.333,0,33.333,0,0,33.333,0,0
FundooLabs,Children/Education,Vadodara,Gujarat,60,4,66,7,2,0,33,33,0,0,0,0,0
Gaon,Food and Beverage,Champaran,Bihar,80,4,80,8,2,0,0,40,40,0,0,0,0
EriWeave,Beauty/Fashion,Kdonghulu,Meghalaya,20,12,20,12,2,10,0,10,0,0,0,0,0
PaleooBakes,Food and Beverage,Mumbai,Maharashtra,100,6.5,100,9,2,0,0,50,50,0,0,0,0
NeuraSim,Medical/Health,Bangalore,Karnataka,100,8,0,0,0,0,0,0,0,0,0,0,0
Offmint,Beauty/Fashion,Samastipur,Bihar,0.0001,1,10,4,5,2,2,2,2,2,0,0,0
Chokhat,Lifestyle/Home,Delhi,Delhi,50,7,30,10,2,0,0,15,0,15,0,0,0
ZenmaCoffee,Food and Beverage,Gurugram,Haryana,60,3.5,0,0,0,0,0,0,0,0,0,0,0
TheEleFant,Children/Education,Mumbai,Maharashtra,60,1,0,0,0,0,0,0,0,0,0,0,0
BetterNutrition,Food and Beverage,Lucknow,Uttar Pradesh,60,1,60,1,1,60,0,0,0,0,0,0,0
PinqPolka,Beauty/Fashion,Faridabad,Haryana,100,2.5,0,0,0,0,0,0,0,0,0,0,0
Vibrasense,Medical/Health,Sonipat,Haryana,100,2,100,4.76,2,50,0,0,0,50,0,0,0
NearBook,Children/Education,Sanchore,Rajasthan,40,20,40,20,1,0,0,40,0,0,0,0,0
Memotag,Medical/Health,Delhi,Delhi,50,5,0,0,0,0,0,0,0,0,0,0,0
Klimate,Beauty/Fashion,"Bangalore,Gular","Karnataka,Assam,Jharkhand",54,3,0,0,0,0,0,0,0,0,0,0,0
HealthFab,Medical/Health,Unknown,Assam,100,3,200,7,4,0,50,50,50,50,0,0,0
PieMatrix,Others,Delhi,Delhi,100,3,0,0,0,0,0,0,0,0,0,0,0
Sudathi,Beauty/Fashion,Surat,Gujarat,100,1,100,4,3,0,33.333,33.333,0,33.333,0,0,0
Moderate,Medical/Health,Hyderabad,Telangana,50,1.25,100,5,2,0,50,0,0,0,0,0,50
HireForCare,Medical/Health,"Ghaziabad,Jaipur","Uttar Pradesh,Rajasthan",36,3,36,5,5,0,7.2,7.2,7.2,7.2,0,0,7.2
DreamSmile,Medical/Health,Mumbai,Maharashtra,80,6,0,0,0,0,0,0,0,0,0,0,0
Madmix,Food and Beverage,Mumbai,Maharashtra,50,1,50,5,1,0,0,0,0,0,50,0,0
Palmonas,Beauty/Fashion,Pune,Maharashtra,126,1,126,1,2,63,0,0,0,0,63,0,0
MKPowerAndMobility,Vehicles/Electrical Vehicles,Pune,Maharashtra,350,5,0,0,0,0,0,0,0,0,0,0,0
Nidhi'sGrandmaaSecret,Beauty/Fashion,Gurugram,Haryana,70,2,70,5,1,0,0,70,0,0,0,0,0
Solnce,Manufacturing,Surat,Gujarat,100,1.5,100,2.5,1,0,100,0,0,0,0,0,0
BornGood,Lifestyle/Home,Bangalore,Karnataka,70,1,0,0,0,0,0,0,0,0,0,0,0
DorabiAndAmili,Beauty/Fashion,Gurugram,Haryana,75,3,100,4,2,0,50,50,0,0,0,0,0
